# BEISPIELDATEN PROTOTYP - KEINE ECHTEN MEDTRONIC-DATEN
# Erstellt: 2026-03-26
# Basis: Ueberschlagsweise Schaetzwerte aus Stichproben-Listen
# Felder: klinik_name, produkt_familie, produkt_modell, anzahl, stk_zyklus_jahre, naechste_stk_faellig
klinik_name,produkt_familie,produkt_modell,anzahl,stk_zyklus_jahre,naechste_stk_faellig
Universitaetsklinikum Tuebingen,IPC,EC300_Legend,2,1,2025-Q1
Universitaetsklinikum Ulm,NIM,NIM_Response_3.0,3,1,2025-Q2
Universitaetsklinikum Ulm,AEX,AEX_40-405-1,2,1,2025-Q1
Universitaetsklinikum Ulm,Schrittmacher_Prog,PROG_2090,8,2,2026-Q2
Universitaetsklinikum Ulm,Beatmung,980X1DEDRAC,12,1,2025-Q3
Universitaetsklinikum Ulm,HF_Chirurgie,FT10,12,1,2025-Q1
Universitaetsklinikum Ulm,IPC,EC300_Legend,3,1,2025-Q4
Universitaetsklinikum Ulm,Hugo,HugoRAS,1,1,2025-Q2
Universitaetsklinikum Frankfurt,NIM,NIM4CM01,3,1,2025-Q1
Universitaetsklinikum Frankfurt,NIM,NIM_Response_3.0,2,1,2025-Q3
Universitaetsklinikum Frankfurt,AEX,AEX_40-405-1,2,1,2025-Q2
Universitaetsklinikum Frankfurt,Schrittmacher_Prog,PROG_2090,8,2,2025-Q4
Universitaetsklinikum Frankfurt,HF_Chirurgie,FT10,14,1,2025-Q1
Universitaetsklinikum Frankfurt,IPC,EC300_Legend,5,1,2025-Q3
Universitaetsklinikum Frankfurt,Neurophysiologie,106E2,2,1,2025-Q2
Universitaetsklinikum Frankfurt,Gastro_Manometrie,MANOSCAN,1,1,2026-Q1
Universitaetsklinikum Wuerzburg,NIM,NIM_Response_3.0,2,1,2025-Q2
Universitaetsklinikum Wuerzburg,AEX,AEX_40-405-1,2,1,2025-Q1
Universitaetsklinikum Wuerzburg,Schrittmacher_Prog,PROG_2090,6,2,2026-Q1
Universitaetsklinikum Wuerzburg,HF_Chirurgie,FT10,10,1,2025-Q3
Universitaetsklinikum Wuerzburg,NIM,NIM4CM01,2,1,2025-Q2
Universitaetsklinikum Wuerzburg,IPC,EC300_Legend,2,1,2025-Q4
Universitaetsklinikum Aachen,NIM,NIM4CM01,3,1,2025-Q1
Universitaetsklinikum Aachen,AEX,AEX_40-405-1,2,1,2025-Q3
Universitaetsklinikum Aachen,Schrittmacher_Prog,PROG_2090,6,2,2025-Q2
Universitaetsklinikum Aachen,HF_Chirurgie,FT10,10,1,2025-Q4
Universitaetsklinikum Aachen,IPC,EC300_Legend,2,1,2025-Q1
Universitaetsklinikum Aachen,Neurophysiologie,106E2,2,1,2025-Q3
Universitaetsklinikum Essen,NIM,NIM4CM01,2,1,2025-Q2
Universitaetsklinikum Essen,AEX,AEX_40-405-1,3,1,2025-Q1
Universitaetsklinikum Essen,Schrittmacher_Prog,PROG_2090,8,2,2026-Q1
Universitaetsklinikum Essen,HF_Chirurgie,FT10,12,1,2025-Q3
Universitaetsklinikum Essen,IPC,EC300_Legend,3,1,2025-Q2
Universitaetsklinikum Koeln,NIM,NIM4CM01,2,1,2025-Q3
Universitaetsklinikum Koeln,AEX,AEX_40-405-1,3,1,2025-Q1
Universitaetsklinikum Koeln,Schrittmacher_Prog,PROG_2090,8,2,2025-Q4
Universitaetsklinikum Koeln,HF_Chirurgie,FT10,14,1,2025-Q2
Universitaetsklinikum Koeln,IPC,EC300_Legend,3,1,2025-Q1
Universitaetsklinikum Koeln,Neurophysiologie,106E2,2,1,2026-Q1
Universitaetsklinikum Muenster,NIM,NIM4CM01,2,1,2025-Q1
Universitaetsklinikum Muenster,AEX,AEX_40-405-1,2,1,2025-Q3
Universitaetsklinikum Muenster,Schrittmacher_Prog,PROG_2090,6,2,2026-Q2
Universitaetsklinikum Muenster,HF_Chirurgie,FT10,10,1,2025-Q2
Universitaetsklinikum Muenster,IPC,1898001,5,1,2025-Q1
Universitaetsklinikum Muenster,IPC,EC300_NT,3,1,2025-Q3
Uniklinikum Giessen Marburg,NIM,NIM4CM01,2,1,2025-Q2
Uniklinikum Giessen Marburg,Schrittmacher_Prog,PROG_2090,6,2,2025-Q4
Uniklinikum Giessen Marburg,HF_Chirurgie,FT10,8,1,2025-Q1
Uniklinikum Giessen Marburg,IPC,EC300_Legend,2,1,2025-Q3
Uniklinikum Giessen Marburg,AEX,AEX_40-405-1,2,1,2025-Q2
Universitaetsmedizin Mainz,NIM,NIM_Response_3.0,2,1,2025-Q1
Universitaetsmedizin Mainz,AEX,AEX_40-405-1,2,1,2025-Q3
Universitaetsmedizin Mainz,Schrittmacher_Prog,PROG_2090,8,2,2026-Q1
Universitaetsmedizin Mainz,Beatmung,980X1DEDRAC,6,1,2025-Q2
Universitaetsmedizin Mainz,HF_Chirurgie,FT10,10,1,2025-Q4
Universitaetsmedizin Mainz,IPC,EC300_Legend,3,1,2025-Q1
Klinikum LMU Muenchen,NIM,NIM4CM01,3,1,2025-Q2
Klinikum LMU Muenchen,NIM,NIM_Response_3.0,2,1,2025-Q3
Klinikum LMU Muenchen,AEX,AEX_40-405-1,4,1,2025-Q1
Klinikum LMU Muenchen,Schrittmacher_Prog,PROG_2090,10,2,2026-Q2
Klinikum LMU Muenchen,HF_Chirurgie,FT10,16,1,2025-Q2
Klinikum LMU Muenchen,IPC,EC300_Legend,4,1,2025-Q3
Klinikum LMU Muenchen,Neurophysiologie,106E2,2,1,2025-Q1
Klinikum rechts der Isar Muenchen,NIM,NIM4CM01,2,1,2025-Q1
Klinikum rechts der Isar Muenchen,AEX,AEX_40-405-1,3,1,2025-Q2
Klinikum rechts der Isar Muenchen,Schrittmacher_Prog,PROG_2090,6,2,2025-Q3
Klinikum rechts der Isar Muenchen,HF_Chirurgie,FT10,12,1,2025-Q4
Klinikum rechts der Isar Muenchen,IPC,EC300_Legend,2,1,2025-Q1
Universitaetsklinikum Regensburg,NIM,NIM4CM01,2,1,2025-Q2
Universitaetsklinikum Regensburg,NIM,NIM_Response_3.0,2,1,2025-Q1
Universitaetsklinikum Regensburg,Schrittmacher_Prog,PROG_2090,6,2,2026-Q1
Universitaetsklinikum Regensburg,HF_Chirurgie,FT10,10,1,2025-Q3
Universitaetsklinikum Regensburg,IPC,EC300_Legend,2,1,2025-Q2
Universitaetsklinikum Regensburg,O_arm,Oarm,1,1,2025-Q4
Universitaetsklinikum Schleswig,NIM,NIM4CM01,4,1,2025-Q1
Universitaetsklinikum Schleswig,AEX,AEX_40-405-1,2,1,2025-Q3
Universitaetsklinikum Schleswig,Schrittmacher_Prog,PROG_2090,6,2,2025-Q2
Universitaetsklinikum Schleswig,HF_Chirurgie,FT10,8,1,2025-Q4
Universitaetsklinikum Schleswig,IPC,EC300_Legend,2,1,2025-Q1
Universitaetsklinikum Schleswig,Gastro_Endoskopie,ColonoscopyAI,2,1,2025-Q3
Universitaetsklinikum Augsburg,NIM,NIM_Response_3.0,2,1,2025-Q2
Universitaetsklinikum Augsburg,Schrittmacher_Prog,PROG_2090,6,2,2026-Q1
Universitaetsklinikum Augsburg,HF_Chirurgie,FT10,8,1,2025-Q1
Universitaetsklinikum Augsburg,IPC,EC300_Legend,2,1,2025-Q3
Universitaetsklinikum Halle Saale,NIM,NIM4CM01,2,1,2025-Q1
Universitaetsklinikum Halle Saale,NIM,NIM_Response_3.0,2,1,2025-Q3
Universitaetsklinikum Halle Saale,Schrittmacher_Prog,PROG_2090,4,2,2025-Q2
Universitaetsklinikum Halle Saale,HF_Chirurgie,FT10,6,1,2025-Q4
Universitaetsklinikum Halle Saale,IPC,EC300_Legend,2,1,2025-Q1
Uniklinikum Carl Gustav Carus Dresden,NIM,NIM_Response_3.0,2,1,2025-Q2
Uniklinikum Carl Gustav Carus Dresden,AEX,AEX_40-405-1,2,1,2025-Q1
Uniklinikum Carl Gustav Carus Dresden,Schrittmacher_Prog,PROG_2090,4,2,2026-Q1
Uniklinikum Carl Gustav Carus Dresden,HF_Chirurgie,FT10,8,1,2025-Q3
Uniklinikum Carl Gustav Carus Dresden,IPC,EC300_Legend,2,1,2025-Q2
Uniklinikum Carl Gustav Carus Dresden,NIM,NIM4CM01,1,1,2025-Q4
Universitaetsmedizin Rostock,NIM,NIM4CM01,2,1,2025-Q1
Universitaetsmedizin Rostock,NIM,NIM_Response_3.0,2,1,2025-Q3
Universitaetsmedizin Rostock,Schrittmacher_Prog,PROG_2090,4,2,2025-Q2
Universitaetsmedizin Rostock,HF_Chirurgie,FT10,6,1,2025-Q4
Universitaetsmedizin Rostock,IPC,EC300_NT,2,1,2025-Q1
Charité Berlin,NIM,NIM4CM01,4,1,2025-Q1
Charité Berlin,NIM,NIM_Response_3.0,3,1,2025-Q2
Charité Berlin,AEX,AEX_40-405-1,4,1,2025-Q3
Charité Berlin,Schrittmacher_Prog,PROG_2090,14,2,2026-Q1
Charité Berlin,HF_Chirurgie,FT10,18,1,2025-Q2
Charité Berlin,IPC,EC300_Legend,6,1,2025-Q1
Charité Berlin,IPC,EC300_NT,4,1,2025-Q3
Charité Berlin,Neurophysiologie,106E2,3,1,2025-Q4
Charité Berlin,Gastro_Manometrie,MANOSCAN,2,1,2025-Q2
Charité Berlin,Beatmung,980X1DEDRAC,8,1,2025-Q1
Medizinische Hochschule Hannover,NIM,NIM4CM01,2,1,2025-Q2
Medizinische Hochschule Hannover,AEX,AEX_40-405-1,2,1,2025-Q1
Medizinische Hochschule Hannover,Schrittmacher_Prog,PROG_2090,6,2,2025-Q3
Medizinische Hochschule Hannover,HF_Chirurgie,FT10,10,1,2025-Q2
Medizinische Hochschule Hannover,IPC,1898001,6,1,2025-Q1
Medizinische Hochschule Hannover,IPC,EC300_Legend,2,1,2025-Q4
Universitaetsklinikum Leipzig,NIM,NIM_Response_3.0,2,1,2025-Q2
Universitaetsklinikum Leipzig,AEX,AEX_40-405-1,2,1,2025-Q1
Universitaetsklinikum Leipzig,Schrittmacher_Prog,PROG_2090,6,2,2026-Q1
Universitaetsklinikum Leipzig,Beatmung,980X1DEDRAC,12,1,2025-Q3
Universitaetsklinikum Leipzig,HF_Chirurgie,FT10,10,1,2025-Q2
Universitaetsklinikum Leipzig,IPC,EC300_Legend,3,1,2025-Q4
Universitaetsklinikum Leipzig,NIM,NIM4CM01,2,1,2025-Q1
# ============================================================
# HUGO-STANDORTE (exakt 9 Systeme)
# ============================================================
Universitaetsklinikum Hamburg-Eppendorf,Hugo,HugoRAS,4,1,2025-Q2
Uniklinikum Luebeck,Hugo,HugoRAS,1,1,2025-Q3
Klinikum Bochum,Hugo,HugoRAS,1,1,2025-Q1
Staedtisches Klinikum Dresden,Hugo,HugoRAS,1,1,2025-Q4
Universitaetsklinikum Ulm,Hugo,HugoRAS,1,1,2025-Q2
# ============================================================
# GROSSKLINIKEN (40-50% Gesamtvolumen)
# ============================================================
Klinikum Dortmund,NIM,NIM4CM01,2,1,2025-Q2
Klinikum Dortmund,NIM,NIM_Response_3.0,1,1,2025-Q1
Klinikum Dortmund,IPC,EC300_NT,4,1,2025-Q3
Klinikum Dortmund,Schrittmacher_Prog,PROG_2090,4,2,2026-Q1
Klinikum Dortmund,HF_Chirurgie,FT10,8,1,2025-Q2
Klinikum Dortmund,IPC,EC300_Legend,2,1,2025-Q4
SLK Kliniken Heilbronn,NIM,NIM4CM01,3,1,2025-Q1
SLK Kliniken Heilbronn,NIM,NIM_Response_3.0,2,1,2025-Q3
SLK Kliniken Heilbronn,AEX,AEX_40-405-1,2,1,2025-Q2
SLK Kliniken Heilbronn,HF_Chirurgie,FT10,8,1,2025-Q4
SLK Kliniken Heilbronn,IPC,EC300_Legend,2,1,2025-Q1
SLK Kliniken Heilbronn,Schrittmacher_Prog,PROG_2090,4,2,2026-Q2
Klinikum der Stadt Ludwigshafen,NIM,NIM4CM01,3,1,2025-Q2
Klinikum der Stadt Ludwigshafen,AEX,AEX_40-405-1,2,1,2025-Q1
Klinikum der Stadt Ludwigshafen,Schrittmacher_Prog,PROG_2090,6,2,2025-Q3
Klinikum der Stadt Ludwigshafen,HF_Chirurgie,FT10,10,1,2025-Q4
Klinikum der Stadt Ludwigshafen,Beatmung,980X1DEDRAC,4,1,2025-Q2
Klinikum der Stadt Ludwigshafen,IPC,EC300_Legend,2,1,2026-Q1
Klinikum Fulda,NIM,NIM4CM01,2,1,2025-Q1
Klinikum Fulda,NIM,NIM_Response_3.0,2,1,2025-Q3
Klinikum Fulda,Schrittmacher_Prog,PROG_2090,4,2,2025-Q2
Klinikum Fulda,HF_Chirurgie,FT10,8,1,2025-Q4
Klinikum Fulda,IPC,EC300_Legend,2,1,2025-Q1
Klinikum Ernst von Bergmann Potsdam,NIM,NIM4CM01,2,1,2025-Q2
Klinikum Ernst von Bergmann Potsdam,NIM,NIM_Response_3.0,2,1,2025-Q1
Klinikum Ernst von Bergmann Potsdam,Schrittmacher_Prog,PROG_2090,4,2,2026-Q1
Klinikum Ernst von Bergmann Potsdam,HF_Chirurgie,FT10,8,1,2025-Q3
Klinikum Ernst von Bergmann Potsdam,IPC,EC300_Legend,2,1,2025-Q2
Klinikum Oldenburg,NIM,NIM4CM01,2,1,2025-Q3
Klinikum Oldenburg,HF_Chirurgie,FT10,8,1,2025-Q1
Klinikum Oldenburg,Schrittmacher_Prog,PROG_2090,4,2,2025-Q2
Klinikum Oldenburg,IPC,EC300_Legend,2,1,2025-Q4
Klinikum Braunschweig,NIM,NIM4CM01,3,1,2025-Q1
Klinikum Braunschweig,HF_Chirurgie,FT10,10,1,2025-Q3
Klinikum Braunschweig,Schrittmacher_Prog,PROG_2090,4,2,2026-Q1
Klinikum Braunschweig,IPC,EC300_Legend,2,1,2025-Q2
Klinikum Braunschweig,AEX,AEX_40-405-1,2,1,2025-Q4
Rems-Murr-Klinikum Winnenden,NIM,NIM4CM01,2,1,2025-Q2
Rems-Murr-Klinikum Winnenden,AEX,AEX_40-405-1,2,1,2025-Q1
Rems-Murr-Klinikum Winnenden,HF_Chirurgie,FT10,8,1,2025-Q3
Rems-Murr-Klinikum Winnenden,IPC,EC300_Legend,2,1,2025-Q4
Rems-Murr-Klinikum Winnenden,Schrittmacher_Prog,PROG_2090,3,2,2026-Q1
Klinikum Bayreuth,NIM,NIM_Response_3.0,2,1,2025-Q1
Klinikum Bayreuth,AEX,AEX_40-405-1,2,1,2025-Q3
Klinikum Bayreuth,HF_Chirurgie,FT10,8,1,2025-Q2
Klinikum Bayreuth,Schrittmacher_Prog,PROG_2090,4,2,2025-Q4
Klinikum Bayreuth,IPC,EC300_Legend,2,1,2025-Q1
Klinikum Kassel,NIM,NIM_Response_3.0,2,1,2025-Q2
Klinikum Kassel,Schrittmacher_Prog,PROG_2090,4,2,2026-Q1
Klinikum Kassel,HF_Chirurgie,FT10,8,1,2025-Q3
Klinikum Kassel,IPC,EC300_Legend,2,1,2025-Q1
Klinikum Nürnberg,HF_Chirurgie,FT10,10,1,2025-Q2
Klinikum Nürnberg,IPC,EC300_NT,2,1,2025-Q1
Klinikum Nürnberg,IPC,1898001,2,1,2025-Q3
Klinikum Nürnberg,Schrittmacher_Prog,PROG_2090,6,2,2025-Q4
Klinikum Nürnberg,AEX,AEX_40-405-1,2,1,2025-Q2
Klinikum Nürnberg,O_arm,Oarm,1,1,2025-Q3
Klinikum Ingolstadt,IPC,EC300_Legend,3,1,2025-Q1
Klinikum Ingolstadt,HF_Chirurgie,FT10,8,1,2025-Q3
Klinikum Ingolstadt,Schrittmacher_Prog,PROG_2090,4,2,2026-Q1
Staedtisches Klinikum Karlsruhe,NIM,NIM_Response_3.0,2,1,2025-Q2
Staedtisches Klinikum Karlsruhe,AEX,AEX_40-405-1,2,1,2025-Q1
Staedtisches Klinikum Karlsruhe,HF_Chirurgie,FT10,12,1,2025-Q3
Staedtisches Klinikum Karlsruhe,IPC,EC300_Legend,3,1,2025-Q2
Staedtisches Klinikum Karlsruhe,Schrittmacher_Prog,PROG_2090,4,2,2025-Q4
Westpfalz-Klinikum Kaiserslautern,NIM,NIM4CM01,2,1,2025-Q1
Westpfalz-Klinikum Kaiserslautern,NIM,NIM_Response_3.0,2,1,2025-Q3
Westpfalz-Klinikum Kaiserslautern,AEX,AEX_40-405-1,2,1,2025-Q2
Westpfalz-Klinikum Kaiserslautern,Schrittmacher_Prog,PROG_2090,6,2,2026-Q1
Westpfalz-Klinikum Kaiserslautern,Beatmung,980X1DEDRAC,6,1,2025-Q1
Westpfalz-Klinikum Kaiserslautern,HF_Chirurgie,FT10,8,1,2025-Q4
Westpfalz-Klinikum Kaiserslautern,IPC,EC300_Legend,2,1,2025-Q2
Vivantes Humboldt-Klinikum Berlin,Beatmung,980X1DEDRAC,14,1,2025-Q2
Vivantes Humboldt-Klinikum Berlin,Schrittmacher_Prog,PROG_2090,8,2,2026-Q1
Vivantes Humboldt-Klinikum Berlin,HF_Chirurgie,FT10,10,1,2025-Q3
Vivantes Humboldt-Klinikum Berlin,IPC,EC300_NT,2,1,2025-Q1
Bezirkskliniken Schwaben Augsburg,Beatmung,980X1DEDRAC,8,1,2025-Q2
Bezirkskliniken Schwaben Augsburg,HF_Chirurgie,FT10,4,1,2025-Q4
DONAUISAR Klinikum Deggendorf,Beatmung,980X1DEDRAC,16,1,2025-Q1
DONAUISAR Klinikum Deggendorf,HF_Chirurgie,FT10,6,1,2025-Q3
DONAUISAR Klinikum Deggendorf,Schrittmacher_Prog,PROG_2090,2,2,2026-Q2
Schoen Klinik Hamburg,Beatmung,980X1DEDRAC,20,1,2025-Q2
Schoen Klinik Hamburg,NIM,NIM_Response_3.0,2,1,2025-Q1
Schoen Klinik Hamburg,HF_Chirurgie,FT10,4,1,2025-Q4
Kliniken Schmieder Heidelberg,Beatmung,980X1DEDRAC,8,1,2025-Q3
Kliniken Schmieder Heidelberg,HF_Chirurgie,FT10,4,1,2025-Q1
Kliniken Schmieder Konstanz,Beatmung,980X1DEDRAC,4,1,2025-Q2
Klinikum Bogenhausen Muenchen,AEX,AEX_40-405-1,2,1,2025-Q1
Klinikum Bogenhausen Muenchen,HF_Chirurgie,FT10,8,1,2025-Q3
Klinikum Bogenhausen Muenchen,IPC,EC300_Legend,2,1,2025-Q2
Klinikum Neuperlach Muenchen,AEX,AEX_40-405-1,2,1,2025-Q4
Klinikum Neuperlach Muenchen,HF_Chirurgie,FT10,8,1,2025-Q2
Klinikum Schwabing Muenchen,AEX,AEX_40-405-1,2,1,2025-Q1
Klinikum Schwabing Muenchen,NIM,NIM_Response_3.0,2,1,2025-Q3
Klinikum Schwabing Muenchen,HF_Chirurgie,FT10,8,1,2025-Q2
Klinikum Schwabing Muenchen,IPC,EC300_Legend,2,1,2025-Q4
# O-arm Standorte (ca. 45 gesamt, verteilt auf grosse Zentren)
Universitaetsklinikum Hamburg-Eppendorf,O_arm,Oarm,2,1,2025-Q2
Universitaetsklinikum Freiburg,O_arm,Oarm,2,1,2025-Q1
Universitaetsklinikum Heidelberg,O_arm,Oarm,3,1,2025-Q3
Universitaetsklinikum Erlangen,O_arm,Oarm,1,1,2025-Q2
Universitaetsklinikum Duesseldorf,O_arm,Oarm,2,1,2025-Q4
Universitaetsklinikum Tuebingen,O_arm,Oarm,1,1,2025-Q1
Universitaetsklinikum Frankfurt,O_arm,Oarm,2,1,2025-Q3
Universitaetsklinikum Muenster,O_arm,Oarm,2,1,2025-Q2
Klinikum LMU Muenchen,O_arm,Oarm,2,1,2025-Q1
Klinikum rechts der Isar Muenchen,O_arm,Oarm,1,1,2025-Q4
Universitaetsklinikum Koeln,O_arm,Oarm,2,1,2025-Q2
Charité Berlin,O_arm,Oarm,3,1,2025-Q1
Universitaetsklinikum Augsburg,O_arm,Oarm,1,1,2025-Q3
Universitaetsklinikum Leipzig,O_arm,Oarm,2,1,2025-Q2
Klinikum Dortmund,O_arm,Oarm,1,1,2025-Q4
Medizinische Hochschule Hannover,O_arm,Oarm,1,1,2025-Q1
Klinikum Braunschweig,O_arm,Oarm,1,1,2025-Q3
Universitaetsklinikum Bonn,O_arm,Oarm,2,1,2025-Q2
Universitaetsklinikum Ulm,O_arm,Oarm,2,1,2025-Q1
Universitaetsklinikum Wuerzburg,O_arm,Oarm,1,1,2025-Q4
Universitaetsklinikum Essen,O_arm,Oarm,1,1,2025-Q2
Uniklinikum Carl Gustav Carus Dresden,O_arm,Oarm,2,1,2025-Q3
# Cryo Standorte (ca. 30 gesamt)
Universitaetsklinikum Hamburg-Eppendorf,Cryo,CryoAblation,2,1,2025-Q2
Universitaetsklinikum Freiburg,Cryo,CryoAblation,2,1,2025-Q1
Universitaetsklinikum Heidelberg,Cryo,CryoAblation,2,1,2025-Q3
Universitaetsklinikum Duesseldorf,Cryo,CryoAblation,2,1,2025-Q2
Universitaetsklinikum Frankfurt,Cryo,CryoAblation,2,1,2025-Q4
Universitaetsklinikum Muenster,Cryo,CryoAblation,2,1,2025-Q1
Klinikum LMU Muenchen,Cryo,CryoAblation,2,1,2025-Q3
Charité Berlin,Cryo,CryoAblation,3,1,2025-Q2
Universitaetsklinikum Koeln,Cryo,CryoAblation,2,1,2025-Q1
Universitaetsklinikum Bonn,Cryo,CryoAblation,2,1,2025-Q4
Universitaetsklinikum Tuebingen,Cryo,CryoAblation,1,1,2025-Q2
Universitaetsklinikum Erlangen,Cryo,CryoAblation,1,1,2025-Q3
Universitaetsklinikum Essen,Cryo,CryoAblation,1,1,2025-Q1
Universitaetsklinikum Wuerzburg,Cryo,CryoAblation,1,1,2025-Q4
Universitaetsklinikum Leipzig,Cryo,CryoAblation,1,1,2025-Q2
# ACT Geräte (ca. 100 gesamt, breite Verteilung)
Universitaetsklinikum Hamburg-Eppendorf,ACT,ACT200,2,1,2025-Q2
Universitaetsklinikum Freiburg,ACT,ACT200,2,1,2025-Q1
Universitaetsklinikum Heidelberg,ACT,ACT200,3,1,2025-Q3
Universitaetsklinikum Erlangen,ACT,ACT200,2,1,2025-Q2
Universitaetsklinikum Duesseldorf,ACT,ACT200,2,1,2025-Q4
Charité Berlin,ACT,ACT200,4,1,2025-Q1
Klinikum LMU Muenchen,ACT,ACT200,3,1,2025-Q2
Universitaetsklinikum Koeln,ACT,ACT200,2,1,2025-Q3
Universitaetsklinikum Frankfurt,ACT,ACT200,2,1,2025-Q1
Universitaetsklinikum Muenster,ACT,ACT200,2,1,2025-Q4
Klinikum Dortmund,ACT,ACT200,2,1,2025-Q2
SLK Kliniken Heilbronn,ACT,ACT200,2,1,2025-Q1
Klinikum Kassel,ACT,ACT200,2,1,2025-Q3
Klinikum rechts der Isar Muenchen,ACT,ACT200,2,1,2025-Q2
Klinikum Braunschweig,ACT,ACT200,2,1,2025-Q4
Universitaetsklinikum Bonn,ACT,ACT200,2,1,2025-Q1
Universitaetsklinikum Tuebingen,ACT,ACT200,2,1,2025-Q2
Universitaetsklinikum Augsburg,ACT,ACT200,2,1,2025-Q3
Universitaetsklinikum Wuerzburg,ACT,ACT200,2,1,2025-Q4
Universitaetsklinikum Aachen,ACT,ACT200,2,1,2025-Q1
Klinikum Oldenburg,ACT,ACT200,1,1,2025-Q2
Klinikum Fulda,ACT,ACT200,1,1,2025-Q3
Rems-Murr-Klinikum Winnenden,ACT,ACT200,1,1,2025-Q1
Klinikum der Stadt Ludwigshafen,ACT,ACT200,2,1,2025-Q4
Klinikum Bayreuth,ACT,ACT200,1,1,2025-Q2
Universitaetsklinikum Essen,ACT,ACT200,2,1,2025-Q3
Uniklinikum Giessen Marburg,ACT,ACT200,2,1,2025-Q1
